,yDistance,xDistance,theta,width,height,centerX,centerY,aspectRatio,heightRatio,yDiff
159,45,0,0,325.7545166,114.3244019,0.860137939,5.162200928,2.849387407,1,-2
160,45,0,5,326.3768616,121.6799622,44.04260254,8.404800415,2.68225646,1.018018018,9
161,45,0,5,323.8115234,119.6639252,42.90576172,8.831970215,2.706007957,1.037037037,7
162,45,0,5,332.5516052,123.3169861,45.36358643,8.517028809,2.696721792,1.036036036,9
163,45,0,5,332.3167725,123.8790741,44.59820557,8.565551758,2.682590008,1.026785714,9
164,45,0,5,332.7628479,120.0000153,45.01861572,10.00003052,2.773023367,1.064814815,5
165,45,0,-5,329.683136,126.5355072,-43.22741699,6.26776123,2.605459452,1,-12
166,45,0,-5,325.1516113,127.5435486,-41.58129883,4.443099976,2.549337864,1.036363636,-18
167,45,0,-5,333.7322693,126.3955383,-41.20281982,6.197784424,2.640380144,0.973684211,-12
168,45,0,-5,331.6226807,129.2865295,-43.20022583,5.431838989,2.565021038,1.008849558,-17
169,45,0,-5,335.5311279,126.4056396,-39.56460571,6.202819824,2.654399872,1.008928571,-14
170,45,5,0,329.3627319,120,-58.44519043,4.000015259,2.744689465,1,-7
171,45,5,0,325.2814331,121.5588379,-59.64071655,3.220581055,2.675917625,1.017699115,-9
172,45,5,0,322.7227783,120.0692902,-57.36138916,5.034667969,2.687804461,1,-8
173,45,5,0,327.4867859,119.0000305,-57.49786377,3.500015259,2.751989126,1.017857143,-7
174,45,5,0,325.5414429,121.0544586,-58.67672729,2.47277832,2.689214706,1.054545455,-12
175,45,5,5,322.3183899,122.3681183,1.840820313,4.871246338,2.634006262,1.045454545,8
176,45,5,5,325.4878235,122.7146149,0.256103516,4.806091309,2.652396679,1.073394495,6
177,45,5,5,322.8292236,121.2051086,0.585388184,4.826126099,2.663495302,1.027027027,7
178,45,5,5,324.3570251,122.1700439,0.870849609,4.81578064,2.654963732,1.036363636,8
179,45,5,5,324.1497803,122.4533386,0.925109863,4.791488647,2.647129059,1.027027027,9
180,45,5,10,325.1074524,133.8358002,47.36828613,8.455749512,2.429151535,1.064814815,19
181,45,5,10,321.4094849,130.7749329,45.29525757,9.387435913,2.457730055,1.08490566,16
182,45,5,10,324.6960449,131.2474823,44.65197754,9.623718262,2.473922014,1.074766355,17
